Module,Gene
M1,Solyc08g075090.2
M1,Solyc03g031450.2
M1,Solyc07g064040.2
M1,Solyc06g051550.2
M1,Solyc03g005350.2
M1,Solyc08g081140.2
M1,Solyc07g052930.2
M1,Solyc02g079970.2
M1,Solyc08g076820.2
M1,Solyc03g118310.2
M1,Solyc06g050840.2
M1,Solyc07g043580.2
M1,Solyc05g006650.2
M1,Solyc06g068870.2
M1,Solyc01g111130.2
M2,Solyc08g075090.2
M2,Solyc03g031450.2
M2,Solyc07g064040.2
M2,Solyc06g051550.2
M2,Solyc03g005350.2
M2,Solyc08g081140.2
M2,Solyc07g052930.2
M2,Solyc02g079970.2
M2,Solyc08g076820.2
M2,Solyc03g118310.2
M2,Solyc06g050840.2
M2,Solyc07g043580.2
M2,Solyc05g006650.2
M2,Solyc06g068870.2
M2,Solyc01g111130.2
M3,Solyc08g075090.2
M3,Solyc03g031450.2
M3,Solyc07g064040.2
M3,Solyc06g051550.2
M3,Solyc03g005350.2
M3,Solyc08g081140.2
M3,Solyc07g052930.2
M3,Solyc02g079970.2
M3,Solyc08g076820.2
M3,Solyc03g118310.2
M3,Solyc06g050840.2
M3,Solyc07g043580.2
M3,Solyc05g006650.2
M3,Solyc06g068870.2
M3,Solyc01g111130.2
M4,Solyc08g075090.2
M4,Solyc03g031450.2
M4,Solyc07g064040.2
M4,Solyc06g051550.2
M4,Solyc03g005350.2
M4,Solyc08g081140.2
M4,Solyc07g052930.2
M4,Solyc02g079970.2
M4,Solyc08g076820.2
M4,Solyc03g118310.2
M4,Solyc06g050840.2
M4,Solyc07g043580.2
M4,Solyc05g006650.2
M4,Solyc06g068870.2
M4,Solyc01g111130.2
M5,Solyc08g075090.2
M5,Solyc03g031450.2
M5,Solyc07g064040.2
M5,Solyc06g051550.2
M5,Solyc03g005350.2
M5,Solyc08g081140.2
M5,Solyc07g052930.2
M5,Solyc02g079970.2
M5,Solyc08g076820.2
M5,Solyc03g118310.2
M5,Solyc06g050840.2
M5,Solyc07g043580.2
M5,Solyc05g006650.2
M5,Solyc06g068870.2
M5,Solyc01g111130.2
M6,Solyc08g075090.2
M6,Solyc03g031450.2
M6,Solyc07g064040.2
M6,Solyc06g051550.2
M6,Solyc03g005350.2
M6,Solyc08g081140.2
M6,Solyc07g052930.2
M6,Solyc02g079970.2
M6,Solyc08g076820.2
M6,Solyc03g118310.2
M6,Solyc06g050840.2
M6,Solyc07g043580.2
M6,Solyc05g006650.2
M6,Solyc06g068870.2
M6,Solyc01g111130.2
M7,Solyc08g075090.2
M7,Solyc03g031450.2
M7,Solyc07g064040.2
M7,Solyc06g051550.2
M7,Solyc03g005350.2
M7,Solyc08g081140.2
M7,Solyc07g052930.2
M7,Solyc02g079970.2
M7,Solyc08g076820.2
M7,Solyc03g118310.2
M7,Solyc06g050840.2
M7,Solyc07g043580.2
M7,Solyc05g006650.2
M7,Solyc06g068870.2
M7,Solyc01g111130.2
